step,p1.sign,p1.weight,p1.prob,p1.position,p2.sign,p2.weight,p2.prob,p2.position,p3.sign,p3.weight,p3.prob,p3.position
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,(1+0j),1,g3.lower_out>g4.lower_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,0j,0,g3.upper_out>g4.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,-,0j,0,g3.upper_out>g4.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,(1+0j),1,g3.lower_out>g4.lower_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,-,0j,0,g3.lower_out>g4.lower_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,0j,0,g3.upper_out>g4.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,-,0j,0,g3.upper_out>g4.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,(1+0j),1,g3.lower_out>g4.lower_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,-,0j,0,g3.lower_out>g4.lower_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,(1+0j),1,g3.lower_out>g4.lower_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,(1+0j),1,g3.lower_out>g4.lower_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,0j,0,g3.upper_out>g4.upper_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,-,0j,0,g3.upper_out>g4.upper_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,(1+0j),1,g3.lower_out>g4.lower_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,-,0j,0,g3.lower_out>g4.lower_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,0j,0,g3.upper_out>g4.upper_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,-,0j,0,g3.upper_out>g4.upper_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,(1+0j),1,g3.lower_out>g4.lower_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,-,0j,0,g3.lower_out>g4.lower_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,(1+0j),1,g3.upper_out>g4.upper_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,0j,0,g3.lower_out>g4.lower_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,(1+0j),1,g3.upper_out>g4.upper_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,0j,0,g3.lower_out>g4.lower_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,(1+0j),1,g3.upper_out>g4.upper_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,-,0j,0,g3.upper_out>g4.upper_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,0j,0,g3.lower_out>g4.lower_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,-,0j,0,g3.lower_out>g4.lower_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,(1+0j),1,g3.upper_out>g4.upper_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,-,0j,0,g3.upper_out>g4.upper_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,0j,0,g3.lower_out>g4.lower_in
3,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,-,0j,0,g3.lower_out>g4.lower_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,(1+0j),1,g3.upper_out>g4.upper_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,0j,0,g3.lower_out>g4.lower_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,(1+0j),1,g3.upper_out>g4.upper_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,0j,0,g3.lower_out>g4.lower_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,(1+0j),1,g3.upper_out>g4.upper_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,-,0j,0,g3.upper_out>g4.upper_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,0j,0,g3.lower_out>g4.lower_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,-,0j,0,g3.lower_out>g4.lower_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,(1+0j),1,g3.upper_out>g4.upper_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,-,0j,0,g3.upper_out>g4.upper_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,0j,0,g3.lower_out>g4.lower_in
3,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,-,0j,0,g3.lower_out>g4.lower_in
4,+,(0.9330127018922194+0j),0.8705127018922195,g5.upper_in>g5.upper_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
4,-,-0.25j,0.0625,g5.upper_in>g5.upper_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
4,+,(0.06698729810778065+0j),0.004487298107780672,g5.lower_in>g5.lower_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
4,-,0.24999999999999997j,0.062499999999999986,g5.lower_in>g5.lower_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
4,+,(0.9330127018922194+0j),0.8705127018922195,g5.upper_in>g5.upper_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
4,-,-0.25j,0.0625,g5.upper_in>g5.upper_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
4,+,(0.06698729810778065+0j),0.004487298107780672,g5.lower_in>g5.lower_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
4,-,0.24999999999999997j,0.062499999999999986,g5.lower_in>g5.lower_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
4,+,(0.9330127018922194+0j),0.8705127018922195,g5.upper_in>g5.upper_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,(1+0j),1,g3.lower_out>g4.lower_in
4,-,-0.25j,0.0625,g5.upper_in>g5.upper_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,(1+0j),1,g3.lower_out>g4.lower_in
4,+,(0.06698729810778065+0j),0.004487298107780672,g5.lower_in>g5.lower_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,(1+0j),1,g3.lower_out>g4.lower_in
4,-,0.24999999999999997j,0.062499999999999986,g5.lower_in>g5.lower_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,(1+0j),1,g3.lower_out>g4.lower_in
4,+,(0.9330127018922194+0j),0.8705127018922195,g5.upper_in>g5.upper_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
4,-,-0.25j,0.0625,g5.upper_in>g5.upper_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
4,+,(0.06698729810778065+0j),0.004487298107780672,g5.lower_in>g5.lower_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
4,-,0.24999999999999997j,0.062499999999999986,g5.lower_in>g5.lower_out,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
4,+,(0.9330127018922194+0j),0.8705127018922195,g5.upper_in>g5.upper_out,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
4,-,-0.25j,0.0625,g5.upper_in>g5.upper_out,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
4,+,(0.06698729810778065+0j),0.004487298107780672,g5.lower_in>g5.lower_out,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
4,-,0.24999999999999997j,0.062499999999999986,g5.lower_in>g5.lower_out,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
4,+,(0.9330127018922194+0j),0.8705127018922195,g5.upper_in>g5.upper_out,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
4,-,-0.25j,0.0625,g5.upper_in>g5.upper_out,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
4,+,(0.06698729810778065+0j),0.004487298107780672,g5.lower_in>g5.lower_out,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
